category,category_link,company,company_link,zone
,UFZOnlineDirectory.aspx?cat=,AL SAJEE TRADING FZE,UFZCompanyDetails.aspx?details=11050,JEBEL ALI FREE ZONE
,UFZOnlineDirectory.aspx?cat=,AL SAKHI FOR JUICES & WATER TRADING LIMITED,UFZCompanyDetails.aspx?details=7994,JEBEL ALI FREE ZONE
MANAGEMENT CONSULTANTS,UFZOnlineDirectory.aspx?cat=MANAGEMENT CONSULTANTS,AL SALAM GROUP FZ-LLC,UFZCompanyDetails.aspx?details=3868,DUBAI INTERNET CITY
,UFZOnlineDirectory.aspx?cat=,AL SALAM INDUSTRIES FZ LLC,UFZCompanyDetails.aspx?details=14961,RAKIA
,UFZOnlineDirectory.aspx?cat=,AL SALAMI TRADING ESTABLISHMENT,UFZCompanyDetails.aspx?details=7632,OUTSIDE
RESTAURANTS & CATERERS,UFZOnlineDirectory.aspx?cat=RESTAURANTS & CATERERS,AL SALWA RESTAURANT,UFZCompanyDetails.aspx?details=2703,JEBEL ALI FREE ZONE
,UFZOnlineDirectory.aspx?cat=,AL SAMA MOTORS FZD,UFZCompanyDetails.aspx?details=12207,DUBAI AUTO ZONE
,UFZOnlineDirectory.aspx?cat=,AL SAMA PLASTIC INDUSTRIES (FZE),UFZCompanyDetails.aspx?details=9333,SAIF-ZONE
PLASTIC & PLASTIC PRODUCTS,UFZOnlineDirectory.aspx?cat=PLASTIC & PLASTIC PRODUCTS,AL SAMA PLASTIC INDUSTRIES (FZE),UFZCompanyDetails.aspx?details=6308,SAIF-ZONE
,UFZOnlineDirectory.aspx?cat=,AL SAMH FZCO,UFZCompanyDetails.aspx?details=16187,DUBAI SILICON OASIS
GENERAL TRADING,UFZOnlineDirectory.aspx?cat=GENERAL TRADING,AL SAQAYA INVESTMENT FZC,UFZCompanyDetails.aspx?details=7224,FUJAIRAH FREE ZONE
,UFZOnlineDirectory.aspx?cat=,AL SAQER AL SAREA TRADING FZCO,UFZCompanyDetails.aspx?details=8013,JEBEL ALI FREE ZONE
HEAVY EQUIPMENT & MACHINERY,UFZOnlineDirectory.aspx?cat=HEAVY EQUIPMENT & MACHINERY,AL SAQER AL THAHABI TRADING FZE,UFZCompanyDetails.aspx?details=6225,JEBEL ALI FREE ZONE
,UFZOnlineDirectory.aspx?cat=,AL SAQOUR TRADING FZCO,UFZCompanyDetails.aspx?details=6255,JEBEL ALI FREE ZONE
GENERAL TRADING,UFZOnlineDirectory.aspx?cat=GENERAL TRADING,AL SAQR OILFIELD PRODUCTS FZE,UFZCompanyDetails.aspx?details=10667,HAMRIYAH FREE ZONE
,UFZOnlineDirectory.aspx?cat=,AL SARAAF TRADING FZCO,UFZCompanyDetails.aspx?details=6235,JEBEL ALI FREE ZONE
,UFZOnlineDirectory.aspx?cat=,AL SARH CONTRACTING FZE,UFZCompanyDetails.aspx?details=14004,RAKIA
,UFZOnlineDirectory.aspx?cat=,AL SARH GLASS INDUSTRIES,UFZCompanyDetails.aspx?details=12106,TECHNOPARK
,UFZOnlineDirectory.aspx?cat=,AL SAUFA AL THAHABEYA TRADING FZCO,UFZCompanyDetails.aspx?details=8014,JEBEL ALI FREE ZONE
,UFZOnlineDirectory.aspx?cat=,AL SAWLJAN CARPENTRY LLC,UFZCompanyDetails.aspx?details=15270,RAKIA
,UFZOnlineDirectory.aspx?cat=,AL SAYED GEMS & JEWELLERY - F.Z.E,UFZCompanyDetails.aspx?details=16605,AJMAN FREE ZONE
,UFZOnlineDirectory.aspx?cat=,AL SAYED READYMADE GARMENTS FACTORY - F.Z.E,UFZCompanyDetails.aspx?details=16606,AJMAN FREE ZONE
,UFZOnlineDirectory.aspx?cat=,AL SAYED READYMADE GARMENTS FACTORY - F.Z.E,UFZCompanyDetails.aspx?details=16607,AJMAN FREE ZONE
,UFZOnlineDirectory.aspx?cat=,AL SAYEGH MOTORS FZD,UFZCompanyDetails.aspx?details=12351,DUBAI AUTO ZONE
,UFZOnlineDirectory.aspx?cat=,AL SEDR AL AALI TRADING COMPANY,UFZCompanyDetails.aspx?details=8015,JEBEL ALI FREE ZONE
,UFZOnlineDirectory.aspx?cat=,AL SEKHI BLOCK & INTERLOCK FACTORY LLC,UFZCompanyDetails.aspx?details=13780,RAKIA
,UFZOnlineDirectory.aspx?cat=,AL SEKHI INDUSTRIES LLC,UFZCompanyDetails.aspx?details=13781,RAKIA
GENERAL TRADING,UFZOnlineDirectory.aspx?cat=GENERAL TRADING,AL SELWAN TRADING FZCO,UFZCompanyDetails.aspx?details=6193,JEBEL ALI FREE ZONE
,UFZOnlineDirectory.aspx?cat=,AL SENJARY TRADING FZCO,UFZCompanyDetails.aspx?details=8016,JEBEL ALI FREE ZONE
GENERAL TRADING,UFZOnlineDirectory.aspx?cat=GENERAL TRADING,AL SERAJ AL WAHHAJ TRADING COMPANY,UFZCompanyDetails.aspx?details=5614,JEBEL ALI FREE ZONE
BUILDING & CONSTRUCTION MATERIALS,UFZOnlineDirectory.aspx?cat=BUILDING & CONSTRUCTION MATERIALS,AL SHAALI MIX,UFZCompanyDetails.aspx?details=6800,HAMRIYAH FREE ZONE
,UFZOnlineDirectory.aspx?cat=,AL SHABOOT BROTHERS TRADING FZCO,UFZCompanyDetails.aspx?details=8017,JEBEL ALI FREE ZONE
,UFZOnlineDirectory.aspx?cat=,AL SHAFAR TRANSPORT & CONTRACTING CO. (L.L.C.),UFZCompanyDetails.aspx?details=8018,JEBEL ALI FREE ZONE
,UFZOnlineDirectory.aspx?cat=,AL SHAHAMAH MOTORS FZD,UFZCompanyDetails.aspx?details=12161,DUBAI AUTO ZONE
,UFZOnlineDirectory.aspx?cat=,AL SHAISTA JEWELLERS FZE,UFZCompanyDetails.aspx?details=15428,RAKIA
,UFZOnlineDirectory.aspx?cat=,AL SHAMAL GOLD FACTORY (FZC),UFZCompanyDetails.aspx?details=9334,SAIF-ZONE
,UFZOnlineDirectory.aspx?cat=,AL SHAMALI INTERNATIONAL FREIGHT SERVICES (L.L.C.),UFZCompanyDetails.aspx?details=8019,JEBEL ALI FREE ZONE
,UFZOnlineDirectory.aspx?cat=,AL SHAMALIYAH TRADING FZCO,UFZCompanyDetails.aspx?details=8020,JEBEL ALI FREE ZONE
ELECTRO-MECHANICAL EQUIPMENT,UFZOnlineDirectory.aspx?cat=ELECTRO-MECHANICAL EQUIPMENT,AL SHAMIL TRADING,UFZCompanyDetails.aspx?details=3342,JEBEL ALI FREE ZONE
GENERAL TRADING,UFZOnlineDirectory.aspx?cat=GENERAL TRADING,AL SHAMLY TRADING FZE,UFZCompanyDetails.aspx?details=6190,JEBEL ALI FREE ZONE
,UFZOnlineDirectory.aspx?cat=,AL SHAMMAL TRADING FZE,UFZCompanyDetails.aspx?details=8021,JEBEL ALI FREE ZONE
,UFZOnlineDirectory.aspx?cat=,AL SHAMSI FURNITURE INDUSTRIAL - F.Z.C,UFZCompanyDetails.aspx?details=16608,AJMAN FREE ZONE
,UFZOnlineDirectory.aspx?cat=,AL SHAMSI FURNITURE INDUSTRIAL - F.Z.C,UFZCompanyDetails.aspx?details=16609,AJMAN FREE ZONE
,UFZOnlineDirectory.aspx?cat=,AL SHAMSI HOLDING (FZC),UFZCompanyDetails.aspx?details=15578,SAIF-ZONE
,UFZOnlineDirectory.aspx?cat=,AL SHAMSI INTERNATIONAL (FZE),UFZCompanyDetails.aspx?details=13364,SAIF-ZONE
PETROLEUM & PETROLEUM PRODUCTS,UFZOnlineDirectory.aspx?cat=PETROLEUM & PETROLEUM PRODUCTS,AL SHANGDU INTERNATIONAL TRADING FZE,UFZCompanyDetails.aspx?details=1625,JEBEL ALI FREE ZONE
,UFZOnlineDirectory.aspx?cat=,AL SHARQ AL-AWSAT TRADING FZCO,UFZCompanyDetails.aspx?details=8022,JEBEL ALI FREE ZONE
,UFZOnlineDirectory.aspx?cat=,AL SHATA' TRADING COMPANY,UFZCompanyDetails.aspx?details=8023,JEBEL ALI FREE ZONE
GENERAL TRADING,UFZOnlineDirectory.aspx?cat=GENERAL TRADING,AL SHATHER TRADING COMPANY,UFZCompanyDetails.aspx?details=6286,JEBEL ALI FREE ZONE
GENERAL TRADING,UFZOnlineDirectory.aspx?cat=GENERAL TRADING,AL SHEEB TRADING FZCO,UFZCompanyDetails.aspx?details=6194,JEBEL ALI FREE ZONE
,UFZOnlineDirectory.aspx?cat=,AL SHEMAM TRADING COMPANY,UFZCompanyDetails.aspx?details=8024,JEBEL ALI FREE ZONE
MULTIMEDIA SERVICES,UFZOnlineDirectory.aspx?cat=MULTIMEDIA SERVICES,AL SHEMS (FZC),UFZCompanyDetails.aspx?details=9335,SAIF-ZONE
,UFZOnlineDirectory.aspx?cat=,AL SHIBL GLOBAL (FZC),UFZCompanyDetails.aspx?details=13191,SAIF-ZONE
,UFZOnlineDirectory.aspx?cat=,AL SHIVA GENERAL TRADING - F.Z.E,UFZCompanyDetails.aspx?details=16528,AJMAN FREE ZONE
,UFZOnlineDirectory.aspx?cat=,AL SHOUROOQ PERFUMES MANUFACTURING (FZE),UFZCompanyDetails.aspx?details=9336,SAIF-ZONE
PERFUMES & COSMETICS,UFZOnlineDirectory.aspx?cat=PERFUMES & COSMETICS,AL SHOUROOQ PERFUMES MANUFACTURING (FZE),UFZCompanyDetails.aspx?details=6309,SAIF-ZONE
AUTOMOBILE SPARE PARTS & ACCESSORIES,UFZOnlineDirectory.aspx?cat=AUTOMOBILE SPARE PARTS & ACCESSORIES,AL SIMAT TRADING FZCO,UFZCompanyDetails.aspx?details=2301,JEBEL ALI FREE ZONE
TOBACCO & CIGARETTES,UFZOnlineDirectory.aspx?cat=TOBACCO & CIGARETTES,AL SNOBAR TRADING LTD.(FZC),UFZCompanyDetails.aspx?details=9337,SAIF-ZONE
,UFZOnlineDirectory.aspx?cat=,AL SOFARAA TRADING FZCO,UFZCompanyDetails.aspx?details=8025,JEBEL ALI FREE ZONE
GENERAL TRADING,UFZOnlineDirectory.aspx?cat=GENERAL TRADING,AL SOJA TRADING COMPANY,UFZCompanyDetails.aspx?details=6164,JEBEL ALI FREE ZONE
,UFZOnlineDirectory.aspx?cat=,AL SSAFI TRADING FZE,UFZCompanyDetails.aspx?details=13623,RAK FREE TRADE ZONE
,UFZOnlineDirectory.aspx?cat=,AL SULTAN READYMADE GARMENTS - F.Z.E,UFZCompanyDetails.aspx?details=16610,AJMAN FREE ZONE
,UFZOnlineDirectory.aspx?cat=,AL SULTAN READYMADE GARMENTS - F.Z.E,UFZCompanyDetails.aspx?details=16611,AJMAN FREE ZONE
GENERAL TRADING,UFZOnlineDirectory.aspx?cat=GENERAL TRADING,AL SURAT GENERAL TRADING COMPANY,UFZCompanyDetails.aspx?details=3318,JEBEL ALI FREE ZONE
,UFZOnlineDirectory.aspx?cat=,AL SWAN MOTORS FZD,UFZCompanyDetails.aspx?details=12427,DUBAI AUTO ZONE
,UFZOnlineDirectory.aspx?cat=,AL SWEER TRADING FZE,UFZCompanyDetails.aspx?details=8026,JEBEL ALI FREE ZONE
,UFZOnlineDirectory.aspx?cat=,AL SWISS INSULATION CO LLC(BR.),UFZCompanyDetails.aspx?details=15026,RAKIA
,UFZOnlineDirectory.aspx?cat=,AL SYR FZCO,UFZCompanyDetails.aspx?details=6202,JEBEL ALI FREE ZONE
,UFZOnlineDirectory.aspx?cat=,AL TAAWUN CLEARING & FORWARDING EST,UFZCompanyDetails.aspx?details=10815,OUTSIDE
,UFZOnlineDirectory.aspx?cat=,AL TABYAN BUILDING CONTRACTING FZ LLC,UFZCompanyDetails.aspx?details=15027,OUTSIDE
,UFZOnlineDirectory.aspx?cat=,AL TAHREEM MOTORS FZD,UFZCompanyDetails.aspx?details=12263,DUBAI AUTO ZONE
,UFZOnlineDirectory.aspx?cat=,AL TAI GENERAL TRADING - F.Z.E,UFZCompanyDetails.aspx?details=16446,AJMAN FREE ZONE
ELECTRICAL EQUIPMENT & RELATED ACCESSORIES,UFZOnlineDirectory.aspx?cat=ELECTRICAL EQUIPMENT & RELATED ACCESSORIES,AL TAIYBAT ELECTRICAL EQUIPMENT TRADING FZCO,UFZCompanyDetails.aspx?details=6184,JEBEL ALI FREE ZONE
,UFZOnlineDirectory.aspx?cat=,AL TAKADUM TRADING FZCO,UFZCompanyDetails.aspx?details=8027,JEBEL ALI FREE ZONE
,UFZOnlineDirectory.aspx?cat=,AL TALEEA BUILDING CONTRACTING EST.,UFZCompanyDetails.aspx?details=15028,RAKIA
GENERAL TRADING,UFZOnlineDirectory.aspx?cat=GENERAL TRADING,AL TAMEER GENERAL TRADING FZCO,UFZCompanyDetails.aspx?details=6203,JEBEL ALI FREE ZONE
,UFZOnlineDirectory.aspx?cat=,AL TAMEER TRADING FZCO,UFZCompanyDetails.aspx?details=8028,JEBEL ALI FREE ZONE
,UFZOnlineDirectory.aspx?cat=,AL TAMIMI & COMPANY,UFZCompanyDetails.aspx?details=3857,DUBAI INTERNET CITY
,UFZOnlineDirectory.aspx?cat=,AL TAMIMI & COMPANY,UFZCompanyDetails.aspx?details=11952,DUBAI INT. FINANCIAL CENTER
GENERAL TRADING,UFZOnlineDirectory.aspx?cat=GENERAL TRADING,AL TAMMAR TRADING FZCO,UFZCompanyDetails.aspx?details=3405,JEBEL ALI FREE ZONE
RESTAURANTS & CATERERS,UFZOnlineDirectory.aspx?cat=RESTAURANTS & CATERERS,AL TANDOOR RESTAURANT,UFZCompanyDetails.aspx?details=416,DUBAI INTERNET CITY
,UFZOnlineDirectory.aspx?cat=,AL TAREEQ AL QAWEEM TRADING FZCO,UFZCompanyDetails.aspx?details=8029,JEBEL ALI FREE ZONE
,UFZOnlineDirectory.aspx?cat=,AL TARHEEB ELECTROMECHANICA BR.,UFZCompanyDetails.aspx?details=15029,RAKIA
AUTOMOBILE SPARE PARTS & ACCESSORIES,UFZOnlineDirectory.aspx?cat=AUTOMOBILE SPARE PARTS & ACCESSORIES,AL TARIQ TRADING COMPANY,UFZCompanyDetails.aspx?details=3719,JEBEL ALI FREE ZONE
,UFZOnlineDirectory.aspx?cat=,AL TAWAF USED CARS,UFZCompanyDetails.aspx?details=16612,AJMAN FREE ZONE
,UFZOnlineDirectory.aspx?cat=,AL TAWAKAL GENERAL TRADING - F.Z.E,UFZCompanyDetails.aspx?details=16613,AJMAN FREE ZONE
,UFZOnlineDirectory.aspx?cat=,AL TAWEEL TRADING FZE,UFZCompanyDetails.aspx?details=8033,JEBEL ALI FREE ZONE
,UFZOnlineDirectory.aspx?cat=,AL TAYER GROUP (L.L.C.),UFZCompanyDetails.aspx?details=8030,OUTSIDE
TRAVEL SERVICES,UFZOnlineDirectory.aspx?cat=TRAVEL SERVICES,AL TAYER TRAVEL AGENCY LLC,UFZCompanyDetails.aspx?details=138,DUBAI MEDIA CITY
,UFZOnlineDirectory.aspx?cat=,AL TECH DIGI PRINTS LLC,UFZCompanyDetails.aspx?details=6269,JEBEL ALI FREE ZONE
GENERAL TRADING,UFZOnlineDirectory.aspx?cat=GENERAL TRADING,AL TELOW GENERAL TRADING,UFZCompanyDetails.aspx?details=3373,JEBEL ALI FREE ZONE
,UFZOnlineDirectory.aspx?cat=,AL TELOW TRADING COMPANY,UFZCompanyDetails.aspx?details=8034,JEBEL ALI FREE ZONE
,UFZOnlineDirectory.aspx?cat=,AL TENMIA FOODS,UFZCompanyDetails.aspx?details=7750,OUTSIDE
,UFZOnlineDirectory.aspx?cat=,AL TERRAZZO TILES FZE,UFZCompanyDetails.aspx?details=13493,RAK FREE TRADE ZONE
,UFZOnlineDirectory.aspx?cat=,AL THARA INTERNATIONAL FZE,UFZCompanyDetails.aspx?details=10714,RAK FREE TRADE ZONE
,UFZOnlineDirectory.aspx?cat=,AL THIKA PACKAGING LLC,UFZCompanyDetails.aspx?details=12650,OUTSIDE
GENERAL TRADING,UFZOnlineDirectory.aspx?cat=GENERAL TRADING,AL THUAINY TRADING FZCO,UFZCompanyDetails.aspx?details=6251,JEBEL ALI FREE ZONE
,UFZOnlineDirectory.aspx?cat=,AL THURIAH BLDG.CONT(BRANCH LLC),UFZCompanyDetails.aspx?details=15030,RAKIA
,UFZOnlineDirectory.aspx?cat=,AL TIMIMI TRADING FZE,UFZCompanyDetails.aspx?details=8035,JEBEL ALI FREE ZONE
,UFZOnlineDirectory.aspx?cat=,AL TOBCHI TRADING FZCO,UFZCompanyDetails.aspx?details=8031,JEBEL ALI FREE ZONE
,UFZOnlineDirectory.aspx?cat=,AL TOMOOH TECHNICAL SERVICES,UFZCompanyDetails.aspx?details=8032,JEBEL ALI FREE ZONE
TOBACCO & CIGARETTES,UFZOnlineDirectory.aspx?cat=TOBACCO & CIGARETTES,AL TOUNBAK FZCO,UFZCompanyDetails.aspx?details=3393,JEBEL ALI FREE ZONE
HOUSEHOLD APPLIANCES,UFZOnlineDirectory.aspx?cat=HOUSEHOLD APPLIANCES,AL TUQA TRADING FZCO,UFZCompanyDetails.aspx?details=6240,JEBEL ALI FREE ZONE
,UFZOnlineDirectory.aspx?cat=,AL ULA FZCO,UFZCompanyDetails.aspx?details=11299,DUBAI AIRPORT FREEZONE
PLASTIC & PLASTIC PRODUCTS,UFZOnlineDirectory.aspx?cat=PLASTIC & PLASTIC PRODUCTS,AL ULA TRADING COMPANY,UFZCompanyDetails.aspx?details=2439,JEBEL ALI FREE ZONE
,UFZOnlineDirectory.aspx?cat=,AL WAD TYPING,UFZCompanyDetails.aspx?details=5190,DUBAI KNOWLEDGE VILLAGE
,UFZOnlineDirectory.aspx?cat=,AL WADI HOLDING,UFZCompanyDetails.aspx?details=15528,DUBAI MEDIA CITY
,UFZOnlineDirectory.aspx?cat=,AL WADI INVESTMENT (FZC),UFZCompanyDetails.aspx?details=9338,SAIF-ZONE
TOBACCO & CIGARETTES,UFZOnlineDirectory.aspx?cat=TOBACCO & CIGARETTES,AL WADI INVESTMENT (FZC),UFZCompanyDetails.aspx?details=6310,SAIF-ZONE
,UFZOnlineDirectory.aspx?cat=,AL WAFA FOR COMPUTERS & ELECTRONIC TRADING,UFZCompanyDetails.aspx?details=15429,RAKIA
,UFZOnlineDirectory.aspx?cat=,AL WAFA GENERAL TRADING (FZC),UFZCompanyDetails.aspx?details=13332,SAIF-ZONE
TELEVISIONS,UFZOnlineDirectory.aspx?cat=TELEVISIONS,AL WAHA FZ LLC,UFZCompanyDetails.aspx?details=3098,DUBAI MEDIA CITY
,UFZOnlineDirectory.aspx?cat=,AL WAHDA ENTERPRISES GROUP FZE,UFZCompanyDetails.aspx?details=15031,RAKIA
FURNITURE,UFZOnlineDirectory.aspx?cat=FURNITURE,AL WAHDA FURNITURE MANUFACTURING FZE,UFZCompanyDetails.aspx?details=260,FUJAIRAH FREE ZONE
,UFZOnlineDirectory.aspx?cat=,AL WAHDA-EXPRESS(YELLOWPAGES),UFZCompanyDetails.aspx?details=7628,OUTSIDE
,UFZOnlineDirectory.aspx?cat=,AL WAKEEL INTERNATIONAL FZE,UFZCompanyDetails.aspx?details=11513,DUBAI AIRPORT FREEZONE
,UFZOnlineDirectory.aspx?cat=,AL WAQIA SHOES (FZC),UFZCompanyDetails.aspx?details=9339,SAIF-ZONE
,UFZOnlineDirectory.aspx?cat=,AL WARD INTERNATIONAL LTD.,UFZCompanyDetails.aspx?details=13381,SAIF-ZONE
,UFZOnlineDirectory.aspx?cat=,AL WARKAA COMPANY ( JEBEL ALI FREE ZONE BRANCH),UFZCompanyDetails.aspx?details=8036,JEBEL ALI FREE ZONE
,UFZOnlineDirectory.aspx?cat=,AL WARKAA TRADING FZCO,UFZCompanyDetails.aspx?details=6241,JEBEL ALI FREE ZONE
MARKETING SERVICES,UFZOnlineDirectory.aspx?cat=MARKETING SERVICES,AL WASATA MARKETING CONSULTING,UFZCompanyDetails.aspx?details=5396,DUBAI MEDIA CITY
MARKETING SERVICES,UFZOnlineDirectory.aspx?cat=MARKETING SERVICES,AL WASATR MARKETING FZ LLC,UFZCompanyDetails.aspx?details=3114,DUBAI MEDIA CITY
,UFZOnlineDirectory.aspx?cat=,AL WASEET FZ-LLC,UFZCompanyDetails.aspx?details=5238,DUBAI MEDIA CITY
,UFZOnlineDirectory.aspx?cat=,AL WASEET TYPING & PHOTOCOPYING,UFZCompanyDetails.aspx?details=12460,DUBAI AUTO ZONE
,UFZOnlineDirectory.aspx?cat=,AL WASIT MACHINERY,UFZCompanyDetails.aspx?details=3060,JEBEL ALI FREE ZONE
LEGAL CONSULTANTS,UFZOnlineDirectory.aspx?cat=LEGAL CONSULTANTS,AL WASL INTERNATIONAL GROUP - ADVOCATES & LEGAL CONSULTANTS,UFZCompanyDetails.aspx?details=4530,DUBAI INTERNET CITY
OIL & GAS EXPLORATION & DEVELOPMENT,UFZOnlineDirectory.aspx?cat=OIL & GAS EXPLORATION & DEVELOPMENT,AL WASL MARINE (L.L.C.),UFZCompanyDetails.aspx?details=2194,JEBEL ALI FREE ZONE
,UFZOnlineDirectory.aspx?cat=,AL WASL MARINE (L.L.C.),UFZCompanyDetails.aspx?details=8037,JEBEL ALI FREE ZONE
ELECTRONICS,UFZOnlineDirectory.aspx?cat=ELECTRONICS,AL WATANI TELECOM FZE,UFZCompanyDetails.aspx?details=11867,DUBAI AIRPORT FREEZONE
,UFZOnlineDirectory.aspx?cat=,AL WATANIA COMPANY FOR TRADING & ENGINEERING,UFZCompanyDetails.aspx?details=8038,JEBEL ALI FREE ZONE
,UFZOnlineDirectory.aspx?cat=,AL WATANIYA CONCRETE LLC,UFZCompanyDetails.aspx?details=14258,RAKIA
,UFZOnlineDirectory.aspx?cat=,AL WATHEER TRADING FZCO,UFZCompanyDetails.aspx?details=8039,JEBEL ALI FREE ZONE
,UFZOnlineDirectory.aspx?cat=,AL WEAM TRADING (FZC),UFZCompanyDetails.aspx?details=15588,SAIF-ZONE
,UFZOnlineDirectory.aspx?cat=,AL WESAM TRADING FZCO,UFZCompanyDetails.aspx?details=8040,JEBEL ALI FREE ZONE
AUTOMOBILE SPARE PARTS & ACCESSORIES,UFZOnlineDirectory.aspx?cat=AUTOMOBILE SPARE PARTS & ACCESSORIES,AL WESI & AL NAEMI TRADING FZCO,UFZCompanyDetails.aspx?details=6173,JEBEL ALI FREE ZONE
PUBLISHERS,UFZOnlineDirectory.aspx?cat=PUBLISHERS,AL YAMAMAH PRESS ESTABLISHMENT,UFZCompanyDetails.aspx?details=4770,DUBAI MEDIA CITY
,UFZOnlineDirectory.aspx?cat=,AL YAMKO GENERAL TRADING (FZE),UFZCompanyDetails.aspx?details=13282,SAIF-ZONE
,UFZOnlineDirectory.aspx?cat=,AL YAQOOT TRADING FZCO,UFZCompanyDetails.aspx?details=8041,JEBEL ALI FREE ZONE
,UFZOnlineDirectory.aspx?cat=,AL YOUSUF (L.L.C.),UFZCompanyDetails.aspx?details=8042,JEBEL ALI FREE ZONE
,UFZOnlineDirectory.aspx?cat=,AL YOUSUF DIGITAL LLC,UFZCompanyDetails.aspx?details=8043,JEBEL ALI FREE ZONE
,UFZOnlineDirectory.aspx?cat=,AL YOUSUF DIGITAL LLC,UFZCompanyDetails.aspx?details=8044,JEBEL ALI FREE ZONE
COMPUTER PARTS & ACCESSORIES,UFZOnlineDirectory.aspx?cat=COMPUTER PARTS & ACCESSORIES,AL YOUSUF DISTRIBUTION,UFZCompanyDetails.aspx?details=3,JEBEL ALI FREE ZONE
AUTOMOBILE SPARE PARTS & ACCESSORIES,UFZOnlineDirectory.aspx?cat=AUTOMOBILE SPARE PARTS & ACCESSORIES,AL ZAAKI TRADING FZCO,UFZCompanyDetails.aspx?details=6174,JEBEL ALI FREE ZONE
,UFZOnlineDirectory.aspx?cat=,AL ZAHRA'A TRADING FZ-LLC,UFZCompanyDetails.aspx?details=14407,RAKIA
,UFZOnlineDirectory.aspx?cat=,AL ZAIM GENERAL TRADING (FZC),UFZCompanyDetails.aspx?details=9340,SAIF-ZONE
,UFZOnlineDirectory.aspx?cat=,AL ZAIN TRDAING FZCO,UFZCompanyDetails.aspx?details=8045,JEBEL ALI FREE ZONE
,UFZOnlineDirectory.aspx?cat=,AL ZAIZAFON TRADING FZCO,UFZCompanyDetails.aspx?details=8046,JEBEL ALI FREE ZONE
SCRAP DEALERS,UFZOnlineDirectory.aspx?cat=SCRAP DEALERS,AL ZAKOORI INTERNATIONAL LTD.,UFZCompanyDetails.aspx?details=6311,SAIF-ZONE
,UFZOnlineDirectory.aspx?cat=,AL ZAM ZAM FZE,UFZCompanyDetails.aspx?details=14331,RAKIA
,UFZOnlineDirectory.aspx?cat=,AL ZANBAQA TRADING FZCO,UFZCompanyDetails.aspx?details=8047,JEBEL ALI FREE ZONE
,UFZOnlineDirectory.aspx?cat=,AL ZAWARIQ TRADING FZCO,UFZCompanyDetails.aspx?details=6118,JEBEL ALI FREE ZONE
,UFZOnlineDirectory.aspx?cat=,AL ZAWAYA INTERNATIONAL - F.Z.E,UFZCompanyDetails.aspx?details=16614,AJMAN FREE ZONE
,UFZOnlineDirectory.aspx?cat=,AL ZAYD TRADING - F.Z.E,UFZCompanyDetails.aspx?details=16615,AJMAN FREE ZONE
,UFZOnlineDirectory.aspx?cat=,AL ZOHA MOTORS FZD,UFZCompanyDetails.aspx?details=12484,DUBAI AUTO ZONE
,UFZOnlineDirectory.aspx?cat=,AL ZOHAIB MOTORS FZD,UFZCompanyDetails.aspx?details=12470,DUBAI AUTO ZONE
,UFZOnlineDirectory.aspx?cat=,AL ZOUHOOR ALNASAA - F.Z.C,UFZCompanyDetails.aspx?details=16616,AJMAN FREE ZONE
"ELECTRONIC APPLIANCES, EQUIPMENT & DEALERS","UFZOnlineDirectory.aspx?cat=ELECTRONIC APPLIANCES, EQUIPMENT & DEALERS",AL ZUBAIDI ELECTRONICS,UFZCompanyDetails.aspx?details=560,JEBEL ALI FREE ZONE
GENERAL TRADING,UFZOnlineDirectory.aspx?cat=GENERAL TRADING,AL ZULFI GENERAL TRADING FZCO,UFZCompanyDetails.aspx?details=2123,JEBEL ALI FREE ZONE
,UFZOnlineDirectory.aspx?cat=,AL- MOSHARAF STEEL ENGINEERING,UFZCompanyDetails.aspx?details=16601,AJMAN FREE ZONE
,UFZOnlineDirectory.aspx?cat=,AL- NUR INTERNATIONAL - F.Z.C,UFZCompanyDetails.aspx?details=16603,AJMAN FREE ZONE
,UFZOnlineDirectory.aspx?cat=,AL-ABBAS MOTORS FZD,UFZCompanyDetails.aspx?details=12365,DUBAI AUTO ZONE
GENERAL TRADING,UFZOnlineDirectory.aspx?cat=GENERAL TRADING,AL-AGEDAL GENERAL TRADING COMPANY,UFZCompanyDetails.aspx?details=3401,JEBEL ALI FREE ZONE
,UFZOnlineDirectory.aspx?cat=,AL-AGEDAL TRADING COMPANY,UFZCompanyDetails.aspx?details=10832,JEBEL ALI FREE ZONE
GENERAL TRADING,UFZOnlineDirectory.aspx?cat=GENERAL TRADING,AL-AHALEEL TRADING COMPANY,UFZCompanyDetails.aspx?details=6242,JEBEL ALI FREE ZONE
GENERAL TRADING,UFZOnlineDirectory.aspx?cat=GENERAL TRADING,AL-AJDAN GENERAL TRADING COMPANY,UFZCompanyDetails.aspx?details=6204,JEBEL ALI FREE ZONE
,UFZOnlineDirectory.aspx?cat=,AL-AJDAN TRADING LIMITED COMPANY,UFZCompanyDetails.aspx?details=8050,JEBEL ALI FREE ZONE
,UFZOnlineDirectory.aspx?cat=,AL-ALI TRADING COMPANY,UFZCompanyDetails.aspx?details=3430,JEBEL ALI FREE ZONE
RESTAURANTS & CATERERS,UFZOnlineDirectory.aspx?cat=RESTAURANTS & CATERERS,AL-ASALA CAFETERIA,UFZCompanyDetails.aspx?details=116,JEBEL ALI FREE ZONE
